t,cpu,mem
211,35.85%;966.3MiB / 1GiB
214,50.62%;966.1MiB / 1GiB
216,11.68%;966.7MiB / 1GiB
219,32.24%;967.1MiB / 1GiB
221,50.42%;966.5MiB / 1GiB
224,51.47%;966.2MiB / 1GiB
226,23.28%;966.5MiB / 1GiB
229,42.09%;967.5MiB / 1GiB
231,51.66%;966.7MiB / 1GiB
234,34.23%;966.3MiB / 1GiB
236,12.28%;966.3MiB / 1GiB
239,28.96%;966.9MiB / 1GiB
241,50.17%;965.3MiB / 1GiB
244,11.84%;965.5MiB / 1GiB
246,0.10%;965.5MiB / 1GiB
249,0.12%;965.5MiB / 1GiB
251,0.18%;965.5MiB / 1GiB
254,0.26%;965.5MiB / 1GiB
256,67.22%;972.3MiB / 1GiB
259,53.44%;981.3MiB / 1GiB
261,132.43%;987.7MiB / 1GiB
264,105.91%;991MiB / 1GiB
266,140.78%;993.2MiB / 1GiB
269,136.19%;994.1MiB / 1GiB
271,85.40%;996.7MiB / 1GiB
274,130.66%;996.8MiB / 1GiB
276,115.06%;998.7MiB / 1GiB
279,154.83%;1003MiB / 1GiB
281,152.00%;1003MiB / 1GiB
284,157.97%;1005MiB / 1GiB
286,177.46%;1007MiB / 1GiB
289,182.32%;1007MiB / 1GiB
291,157.08%;1010MiB / 1GiB
294,178.74%;1009MiB / 1GiB
296,152.07%;1010MiB / 1GiB
299,134.48%;1013MiB / 1GiB
301,132.73%;1014MiB / 1GiB
304,83.30%;1011MiB / 1GiB
306,0.12%;1010MiB / 1GiB
309,0.13%;1010MiB / 1GiB
311,0.22%;1010MiB / 1GiB
314,2.60%;1011MiB / 1GiB
316,0.13%;1011MiB / 1GiB
319,0.12%;1011MiB / 1GiB
321,0.13%;1011MiB / 1GiB
324,0.14%;1011MiB / 1GiB
326,0.11%;1011MiB / 1GiB
329,0.12%;1011MiB / 1GiB
331,3.64%;1004MiB / 1GiB
334,0.09%;1004MiB / 1GiB
336,0.08%;1004MiB / 1GiB
339,0.10%;1004MiB / 1GiB
341,0.09%;1004MiB / 1GiB
344,0.09%;1004MiB / 1GiB
346,0.09%;1004MiB / 1GiB
349,0.09%;1004MiB / 1GiB
351,0.08%;1004MiB / 1GiB
354,0.08%;1004MiB / 1GiB
356,0.10%;1004MiB / 1GiB
359,0.07%;1004MiB / 1GiB
361,0.07%;1004MiB / 1GiB
364,8.59%;980MiB / 1GiB
366,4.24%;869.7MiB / 1GiB
369,0.06%;869.7MiB / 1GiB
371,0.09%;869.8MiB / 1GiB
374,4.91%;838.3MiB / 1GiB
376,0.08%;837.8MiB / 1GiB
379,0.06%;837.8MiB / 1GiB
381,0.06%;837.8MiB / 1GiB
384,0.06%;837.8MiB / 1GiB
386,0.06%;837.8MiB / 1GiB
389,0.06%;837.8MiB / 1GiB
391,3.78%;790.8MiB / 1GiB
394,0.07%;790.8MiB / 1GiB
396,0.06%;790.8MiB / 1GiB
399,0.07%;790.8MiB / 1GiB
401,0.06%;790.8MiB / 1GiB
